50															
2B2	200	350	1675	16	10	21	230	230	2.89	8.27	9.65	11.18	11.95	1.02	0
2B2	200	350	1675	16	10	21	230	230	-2.13	-8.1	-12.34	-10.8	-10.04	-1.25	0
2B4	200	350	4600	16	10	21	230	230	10.53	4.08	0.61	4	18.43	-0.12	0
2B4	200	350	4600	16	10	21	230	230	3	-15.65	-9.31	-5.69	2.39	-0.49	-0.01
2B5	200	350	4600	16	10	21	230	230	4.82	9.75	3.47	6.93	29.96	0.09	0
2B5	200	350	4600	16	10	21	230	230	2.21	-18.69	-9.84	-6.39	3.53	-0.15	0
2B6	200	350	3450	16	10	21	230	230	3.68	7.92	1.02	5.64	8.14	1.16	0
2B6	200	350	3450	16	10	21	230	230	1.08	-10.54	-9.76	-4.67	-2.17	0.27	-0.01
2B7	200	350	1650	16	10	21	230	230	3.17	10	14.58	16.72	18.08	-0.48	0
2B7	200	350	1650	16	10	21	230	230	-2.35	-12.71	-16.34	-14.2	-12.84	-2.16	0
2B8	200	350	4350	16	10	21	230	230	11.65	-4.86	-7.76	3.97	21.21	3.38	0
2B8	200	350	4350	16	10	21	230	230	4.5	-14.62	-19.54	1.04	7.69	-3.6	0
2B9	200	350	3200	16	10	21	230	230	4.38	-1.97	-2.62	1.04	12.34	4.77	0
2B9	200	350	3200	16	10	21	230	230	1.4	-5.01	-5	-0.58	4.73	-4.39	0
2B10	200	350	2900	16	10	21	230	230	1.49	-1.05	-3.2	1.01	8.96	0.16	0.01
2B10	200	350	2900	16	10	21	230	230	0.59	-2.2	-8.04	0.13	3.58	-0.03	0.01
2B11	200	350	4050	16	10	21	230	230	2.62	-2.79	-2.73	-0.9	8.98	0.19	0.02
2B11	200	350	4050	16	10	21	230	230	1.13	-6.67	-7.7	-3.46	4.13	-0.33	0.01
2B12	200	350	4700	16	10	21	230	230	4.75	-2.36	-5.59	0.25	9.45	2.9	0
2B12	200	350	4700	16	10	21	230	230	2.12	-5.6	-13.36	-1.8	4.34	-3.7	0.02
2B13	200	350	2400	16	10	21	230	230	4.44	-2.44	-5.91	0.84	21.45	3.13	0.01
2B13	200	350	2400	16	10	21	230	230	0.93	-9.14	-19.72	-0.23	6.04	-4.26	0.01
2B14	200	350	5350	16	10	21	230	230	8.82	-5.62	-7.02	2.89	20.28	0.79	0
2B14	200	350	5350	16	10	21	230	230	3.52	-14.8	-18.6	0.8	7.67	-0.66	0.02
2B15	200	350	4900	16	10	21	230	230	3.83	-4.67	-4	1.86	17.53	0.88	0.01
2B15	200	350	4900	16	10	21	230	230	2.07	-11.78	-7.95	0.66	6.8	-1.6	0
2B16	200	350	2750	16	10	21	230	230	-0.26	1.2	-2.65	-1.14	1.19	1.9	0
2B16	200	350	2750	16	10	21	230	230	-1.72	-0.26	-5.44	-3.42	-0.39	-1.89	0.01
2B17	200	350	5350	16	10	21	230	230	13.36	-6.45	-7.35	5.02	25.62	0.57	0
2B17	200	350	5350	16	10	21	230	230	4.75	-17.34	-19.33	1.46	9.97	-0.41	0
2B21	200	350	4700	16	10	21	230	230	6.08	0	-3.26	0.14	7.59	0	0
2B21	200	350	4700	16	10	21	230	230	1.12	0	-6.92	-2.39	2.88	0	-0.01
2B22	200	350	3600	16	10	21	230	230	5.49	0	-1.11	0.62	4.08	-0.11	0
2B22	200	350	3600	16	10	21	230	230	-5.83	0	-5.96	-4.23	-0.77	-0.19	-0.01
2B23	200	350	3600	16	10	21	230	230	3.04	0	-4.78	-0.04	3	-0.51	0
2B23	200	350	3600	16	10	21	230	230	-2.91	0	-15.52	-2.94	0.1	-1.45	-0.01
2B24	200	350	1300	16	10	21	230	230	-2.42	0	-2.94	-2.94	-1.19	3.56	0
2B24	200	350	1300	16	10	21	230	230	-4.57	0	-5.05	-5.05	-2.73	-3.02	-0.01
2B25	200	350	4050	16	10	21	230	230	6.93	-4.99	-7.47	5.57	9.92	2.56	0
2B25	200	350	4050	16	10	21	230	230	3.8	-10.1	-13.04	2.49	5.76	-2.19	-0.01
2B26	200	350	4700	16	10	21	230	230	3.97	0.23	-1.69	2.97	5.84	0.67	0
2B26	200	350	4700	16	10	21	230	230	1.93	-4.39	-8.1	-1.72	0.92	0.34	0
2B27	200	350	3500	16	10	21	230	230	3.2	4.05	-1.61	0.94	6.83	0	0
2B27	200	350	3500	16	10	21	230	230	1.18	-7.63	-9.46	-4.14	1.05	-0.17	0
2B29	350	200	5353	16	10	21	230	230	5.79	-2.96	-6.05	0.9	9.61	1.19	0
2B29	350	200	5353	16	10	21	230	230	3.11	-5.78	-9.86	0.16	5.94	-1.16	-0.01
2B30	200	350	1950	16	10	21	230	230	2.26	0	-1.75	-0.12	8.74	0.05	-0.01
2B30	200	350	1950	16	10	21	230	230	1.03	0	-3.14	-0.95	3.18	-0.67	0.01
2B31	200	350	2050	16	10	21	230	230	2.73	0	-1.91	-0.27	8.51	-0.34	0
2B31	200	350	2050	16	10	21	230	230	1.21	0	-3.57	-1.38	3.17	-2.18	-0.01
